Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
89,27/10/2015,Roadrunnr,Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,"10,000,000",Series B
90,27/10/2015,Simpli5d,Online user engagement platform,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,N/A,Bridge Funding
91,28/10/2015,ORIGA Leasing,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,"1,100,000",
92,28/10/2015,Smartivity.in,Virtual Reality activity based learning platform,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,"200,000",
93,28/10/2015,UrDoorStep,Online Grocery Store,Bangalore,Jupiter Capital,Private Equity,N/A,Series A
94,29/10/2015,Tavaga,Investment management platform,Mumbai,Tracxn Syndicate,Seed Funding,N/A,
95,29/10/2015,Moglix,Industrial Toons Marketplace,Noida,"Accel Partner, Jungle Ventures",Private Equity,N/A,pre-Series A
96,29/10/2015,ZopHop,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,"450,000",
97,30/10/2015,Niki.ai,Artificial Intelligence Ecommerce Chatbot,Bangalore,Unilazer Ventures,Seed Funding,N/A,
98,30/10/2015,Instavans,Truck Aggregator & Logistics service,Bangalore,Suresh Vaswani,Seed Funding,N/A,
100,30/10/2015,LiftO,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,"130,000",
101,30/10/2015,TinyOwl,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,"7,500,000",Series B
102,30/10/2015,Toppr.com,Competitive exam learning platform,Mumbai,InnoVen Capital,Private Equity,"2,000,000",Series C
103,30/10/2015,Kleeto,Document Digitization platform,Gurgaon,GREX,Seed Funding,"230,000",pre-Series A
104,30/10/2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,"80,000",
105,31/10/2015,Jugnoo,Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm,Private Equity,"10,000,000",Series B
