Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
48,18/09/2015,Plabro,Real Estate Broker Platform App,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"350,000",
49,18/09/2015,CureJoy,Online Health & Wellness platform,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"1,150,000",Pre-Series A
50,18/09/2015,Briston Technomach,Internet of Things platform,New Delhi,Undisclosed,Seed Funding,"150,000",
51,18/09/2015,LabStreet,Diagnostic Labs aggregator platform,Gurgaon,Multiple investors,Seed Funding,"150,000",
52,19/09/2015,DailyNinja,Hyperlocal Delivery Platform,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,N/A,
53,21/09/2015,Portea Medical,Home Medical Care Services,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"37,500,000",
54,21/09/2015,Neotrade Analytics,Real-Time stock data platform,Bangalore,Rainmatter,Seed Funding,"235,000",
55,21/09/2015,DishCo,Food discovery & table booking app,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,N/A,
56,21/09/2015,LafaLafa,coupons and cashback aggregator app,Mumbai,500 Startups,Seed Funding,"125,000",thru Accelerator
57,21/09/2015,ConnectAbank,Financial Products lead generation platform,Mumbai,Prakhar Bumb,Seed Funding,N/A,
58,22/09/2015,VillFarm,Sustainable Agri-inputs Firm,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,N/A,
59,22/09/2015,Bestdealfinance,Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"3,000,000",Series A
60,22/09/2015,GameXS.in,Pre-owned games Marketplace,New Delhi,Lead Angels,Seed Funding,N/A,
61,22/09/2015,The Man Company,Content-based Subscription eCommerce platform,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,N/A,
62,22/09/2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Bangalore,Swarnim Multiventures,Private Equity,"800,000",Pre-Series A
63,22/09/2015,Furdo,Online Interior Designing platform,Bangalore,Bhavdeep Reddy,Seed Funding,"400,000",
64,22/09/2015,LogiNext,End-to-end Logistics platform,Mumbai,Paytm,Private Equity,"10,000,000",Series A
65,22/09/2015,Korra,Private Label Apparel sales,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,"300,000",
66,23/09/2015,Credihealth,Healthcare Consulting platform,Gurgaon,Rajat Malhotra,Seed Funding,N/A,
67,23/09/2015,Amigobulls,Stock Market Portal,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,N/A,
68,23/09/2015,SilverPush,Cross-device retargeting platform,Gurgaon / SFO,M&S Partners,Private Equity,"1,200,000",Series A
69,23/09/2015,Juggernaut,Digital & Physical Publishing platform,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"2,250,000",Series A
70,23/09/2015,InnerChef,Food Delivery Platform,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,"1,750,000",pre-Series A
71,24/09/2015,Quintype,Data Driven Publishing platform,Bangalore,Raghav Bahl,Private Equity,"3,300,000",
72,24/09/2015,Capabiliti,Employee OnBoarding & Orientation platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,"400,000",
73,24/09/2015,Fourth Partner Energy,Solar Power Solutions company,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,"2,000,000",Series A
74,24/09/2015,Licious,Online Meat Ordering platform,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,"1,000,000",
75,25/09/2015,TravelKhana,online meal-booking platform for train travelers,New Delhi,Astarc Ventures & Others,Seed Funding,N/A,Pre-Series A
76,28/09/2015,Quickli,hyperlocal delivery platform,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,N/A,
77,28/09/2015,Ola Cabs,Cab Booking app platform,Bangalore,Didi Kuaidi,Private Equity,"30,000,000",late Stage (part of $500M funding rnd)
78,29/09/2015,Paytm,E-Commerce & M-Commerce platform,New Delhi,"Alibaba Group, Ant Financial",Private Equity,"680,000,000",Late Stage (Alibaba @ 40% equity)
79,29/09/2015,Inmobi,Mobile Advertising platform,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,"100,000,000",Late Stage
80,29/09/2015,Peppertap,Hyperlocal Grocery Delivery,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,"36,000,000",Series B
81,29/09/2015,Hugefly,Ecommerce Product recommendation platform,Pune,Mayank Singhal and others,Seed Funding,N/A,
82,29/09/2015,Brigge,Activity Based Social Network,Chennai,The Chennai Angels,Seed Funding,N/A,
83,29/09/2015,Zakoopi,Fashion Discovery platform,New Delhi,Uniqorn Ventures,Seed Funding,"350,000",
84,29/09/2015,LoanCircle,Consumer lending marketplace,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,N/A,
85,30/09/2015,Infoworks,Big Data Management Platform,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,"5,000,000",
86,30/09/2015,RedDoorz,Budget Accommodation Platform,Noida,Jungle Ventures,Seed Funding,"1,000,000",
87,30/09/2015,FirstTouch,Local Mobile OS,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,N/A,Super angel round
88,30/09/2015,Eywa Media,Digital Signal processing platform,Bangalore,"ah! Ventures,Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,"1,000,000",
89,,,,,,,,
90,,,,,,,,
,,,,,,,,
