Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
71,24/06/2015,Indix,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000",Series C
72,24/06/2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"5,500,000",Series A
73,24/06/2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000",
74,25/06/2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"8,600,000",Series C
75,25/06/2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"6,000,000",Series A
76,26/06/2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"2,500,000",Series A
77,26/06/2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"250,000",
78,29/06/2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"10,000,000",Series A
79,29/06/2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,N/A,
80,29/06/2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"1,000,000",
81,29/06/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"400,000",
82,30/06/2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,N/A,
83,30/06/2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,N/A,Pre-Series A
84,30/06/2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,N/A,
85,30/06/2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"2,500,000",Strategic Funding
86,30/06/2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"1,500,000",Series A
,,,,,,,,
