Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
64,18/12/2015,Focus Digit,ECommerce platform solutions,New Delhi,Turning Ideas,Seed Funding,N/A,
65,18/12/2015,The News Minute,Online Media Publication,Bangalore,Quintillion Media,Seed Funding,N/A,
66,18/12/2015,CBREX,International Hiring Platform,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,"200,000",
67,21/12/2015,TruckMandi,Logistics Service Provider Marketplace,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,"2,000,000",Pre-Series A
68,21/12/2015,Peppertap,Hyperlocal  Grocery Delivery Service,Gurgaon,Innoven Capital,Private Equity,"4,000,000",part of $40M Series B round
69,21/12/2015,KOOH Sports,Sports Education Platform,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,"2,000,000",Series A
70,22/12/2015,RentOnGo,"Bike, Appliances Renting marketplace",Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,N/A,
71,22/12/2015,Industrybuying,Online Marketplace for Industrial Goods,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,N/A,
72,22/12/2015,Zapr,Reward points mobile app,Gurgaon,Dinesh Agarwal,Seed Funding,N/A,
73,22/12/2015,LatestOne,Mobile accessories online store,Hyderabad,Palred Technologies Ltd,Private Equity,"3,000,000",Additional investment from parent company
74,22/12/2015,PlanetGogo,Content Discovery & reward points platform,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,N/A,
75,22/12/2015,Arya.ai,Artificial Intelligence platform,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,"750,000",Series A
76,22/12/2015,Doctor Insta,Medical Consultation & Doctor appointment booking platform,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,"500,000",pre-Series A
77,22/12/2015,MobieFit,Mobile Fitness App,Goa,Medi Assist,Private Equity,"1,000,000",Strategic Investment
78,23/12/2015,LafaLafa,"Digital Coupons, Deal & Cashback aggregator app",Mumbai,Vectr Ventures,Private Equity,N/A,N/A
79,23/12/2015,Mech Mocha,Mobile Game development & Design platform,Bangalore,"Blume Ventures, Flipkart",Seed Funding,"1,000,000",
80,23/12/2015,Shotang.com,B2B eCommerce Marketplace,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,"5,000,000",Series A
81,23/12/2015,CityFurnish,Furniture and appliances rental platform,Gurgaon,Jitendra Gupta,Seed Funding,N/A,
82,24/12/2015,Black White Orange,B2B Merchandize platform,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,"303,000",
83,24/12/2015,Kolabro,Real Estate focused Tech platform,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,N/A,
84,24/12/2015,Canvera,Photographer Online search & booking platform,Bangalore,Info Edge (India) Ltd,Private Equity,"2,200,000",N/A
85,28/12/2015,Town Essentials,Grocery Delivery platform,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,"1,000,000",
86,28/12/2015,Bumper,Mobile Car Servicing appointment app,Bangalore,SAIF Partners,Seed Funding,"500,000",
87,29/12/2015,Hotify,New Curation Mobile App,Bangalore,Mahavir Pratap Sharma,Seed Funding,"150,000",
88,29/12/2015,MobiKwik,Mobile Wallet,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,"6,600,000",Additional Funding
89,30/12/2015,Intelligent Interfaces,Interface development platform for Government officials,Bangalore,Yuvraj Singh,Seed Funding,N/A,Yet to Launch
