,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
61,Legalwiz.in,2015,Ahmedabad,Legaltech,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,"$500,000",
62,Practically,2018,Telangana,EdTech,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,"$4,000,000",Pre-series B
63,Cred,2018,Bangalore,FinTech,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"DST Global, General Catalyst","$81,000,000",Series C
64,Devic Earth,2018,Bangalore,Pollution control equiptment,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,"$1,000,000",
65,Zerone,2018,Gurgaon,FinTech,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,"$1,300,000",Pre-series A
66,boAt,2016,Mumbai,Fashion & Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita","$100,000,000",PE
67,Pocket Aces,2013,Mumbai,Media,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group","$2,000,000",
68,Kyt,2020,Bangalore,EdTech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,"$5,000,000",Series A
69,iMumz,2019,Bangalore,Healthcare,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList","$300,000",
70,BharatPe,2018,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners","$8,200,000",Debt
71,CropIn,2010,Bangalore,AgriTech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust","$20,000,000",Series C
