Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD)
48,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"31,300,000"
49,21/9/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"298,000"
50,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,"350,000"
51,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,"6,000,000"
52,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,N/A
53,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,"425,000"
54,22/9/2016,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,"1,000,000"
55,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000"
56,23/9/2016,CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"6,000,000"
57,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,N/A
58,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,N/A
59,23/9/2016,inMotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,N/A
60,26/9/2016,Let’s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,N/A
61,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,N/A
62,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"1,580,000"
63,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,N/A
64,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"500,000"
65,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"1,000,000"
66,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"1,000,000"
67,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"51,000,000"
68,29/9/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"180,000"
69,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,N/A
70,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"1,500,000"
71,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A
72,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000"
73,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,N/A
74,30/9/2016,,,,,,,
75,30/9/2016,,,,,,,
76,,,,,,,,
,,,,,,,,
