,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
62,Clientjoy,2013,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat","$800,000",Pre-series A
63,Xpressbees,2015,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital","$100,000,000",
64,GalaxyCard,2017,Gurugram,FinTech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,"Amit Kumar, Gunjeet Singh",India Accelerator,Undisclosed,Seed
65,Wellness Forever,2008,Mumbai,HealthTech,Wellness Forever is the one-stop destination for wellness,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group","$100,000,000",
66,MoooFarm,2019,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart","$500,000",Pre-seed
67,BitClass,2020,Bangalore,PaaS startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures","$2,000,000",Seed
68,Gonuts,2020,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini","$400,000",Seed
69,Uolo,2013,Bangalore,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital","$2,000,000",Seed
70,Kirana King,2014,"Jaipur, Rajastan",Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,"$900,000",Pre-series A
71,Jade Forest,,Delhi,Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",,"$250,000",Seed
72,iKure,2010,Kolkata,Healthtech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",Undisclosed,
73,FrontRow,,Bangalore,EdTech,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone","$3,200,000",Seed
74,Reliance Retail,2006,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC","$10,000,000",
75,TUBBR,2019,"Frisco, Texas, United States",Social Media,World's First Personal Social Network,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,Undisclosed,
76,Ather Energy,2013,Bangalore,Automobiles,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,"$35,000,000",Series D
77,Routematic,2007,Bangalore,SaaS startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra","$2,000,000",
78,LivFin,2017,New Delhi,FinTech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG","$4,700,000",
79,Universal Sportsbiz Pvt Ltd,2012,Bangalore,Fashion startup,A fashion startup based in Bengaluru.,Anjana Reddy,"Accel, Alteria Capital",Undisclosed,
80,Lattu Kids,2017,Mumbai,EdTech,Lattu kids is an edutainment platform for preschool kids.,Vivek Bhutyani,Mumbai Angels Network,Undisclosed,
81,Eggoz,2016,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners","$1,500,000",Pre-series A
