Sr.No.,Name of company,Year founded,Technology,Business Model,Location,Number of Employees,,,
80,SenseLoaf,2018,Text analysis + 1 more,B2B,--,20,,,
81,Akira.ai,--,Artificial Intelligence + 2 more,B2B + 1 more,India,50,,,
82,Shoora Technologies,2023,Artificial Intelligence + 2 more,B2B,--,11,,,
83,Shoppr,2016,Artificial Intelligence,B2C + 1 more,"Gujarat, India",0,,,
84,Shubu.ai,2020,Artificial Intelligence,B2B + 1 more,"Karnataka, India",20,,,
85,Signicent Information Solutions LLP,2022,Artificial Intelligence,B2B,--,200,,,
86,SimpliContract,2020,Artificial Intelligence + 1 more,B2B,"Karnataka, India",50,,,
87,Techweirdo Consultancy Pvt Ltd,2019,Artificial Intelligence + 2 more,B2B,"Karnataka, India",50,,,
88,Silverpush,2012,Artificial Intelligence,B2B,"Haryana, India",200,,,
89,Selekt,2016,Chatbot + 2 more,B2B,"Maharashtra, India",20,,,
90,Aira Matrix,2011,Machine Learning + 3 more,B2B,"Maharashtra, India",200,,,
91,FutureBeeAI,2020,Artificial Intelligence + 4 more,B2B,"Rajasthan, India",10,,,
92,Aindra Systems Pvt. Ltd.,2012,--,B2C,"Karnataka, India",50,,,
93,Aigroedge,2019,Artificial Intelligence + 2 more,B2B,India,20,,,
94,Aidash,2019,Deep Tech,B2B,"Karnataka, India",250,,,
95,Yellow.ai registered as Bitonic Labs,2016,Artificial Intelligence + 1 more,B2C,"Karnataka, India",850,,,
96,WorkInSync (MoveInSync),2009,--,B2B,"Karnataka, India",400,,,
97,Wryght Research & Capital Pvt Ltd,2019,Artificial Intelligence + 2 more,B2B,"Maharashtra, India",50,,,
98,Aara Groups,2016,Artificial Intelligence + 3 more,B2C + 3 more,"Uttar Pradesh, India",100,,,
99,Allo Health,2021,Artificial Intelligence + 1 more,B2C,"Karnataka, India",20,,,
100,Aarogram,2023,AI,B2C,"Telangana, India",10,,,
101,AIBONO,2014,--,B2C,"Karnataka, India",10,,,
102,Adiuvo,2015,Multispectral AI,B2C,"Tamil Nadu, India",10,,,
103,Crux Intelligence,2016,Artificial Intelligence,B2B,"Maharashtra, India",50,,,
104,ConverSight.ai,2017,Artificial Intelligence,B2B,"Tamil Nadu, India",100,,,
105,Chemryt Informatics Pvt. Ltd.,2018,Not specified,B2C,"Maharashtra, India",50,,,
106,ClearQuote Technologies India Pvt Ltd,2019,Computer Vision + 3 more,B2B,"Tamil Nadu, India",100,,,
107,caratRED Technologies LLP,2016,Cloud Computing + 3 more,B2B,"Telangana, India",100,,,
108,Business Brio,2013,Big Data Analytics,B2B,"West Bengal, India",50,,,
109,Blu Cocoon Digital Private Ltd,2020,Artificial Intelligence + 3 more,B2B,"West Bengal, India",150,,,
110,Brndaddo,2019,Cloud Computing + 1 more,B2B,"Haryana, India",50,,,
111,Avataar,2014,Artificial Intelligence + 1 more,B2B,"Karnataka, India",300,,,
112,Aselector Technologies (OPC) Private Limited,2017,Artificial Intelligence,B2B,India,50,,,
113,Epitome.ai,2020,Artificial Intelligence,B2B + 1 more,"Karnataka, India",50,,,
114,Achala healthcare Private limited,2009,Not specified,B2B,"Telangana, India",300,,,
115,vEngage.AI Pte Ltd,2020,Artificial Intelligence,B2B,"Karnataka, Singapore",20,,,
116,Tripdairy,2015,Artificial Intelligence + 4 more,B2B2C,"Karnataka, India",20,,,
117,TRUSTGRID.AI Innovations Private Limited,2021,Artificial Intelligence,B2B,"Karnataka, India",20,,,
118,ThinkSmart IT solutions pvt ltd,2012,Artificial Intelligence + 1 more,B2B,"Maharashtra, India",100,,,
119,testAIng Solutions Pvt Ltd (Now aiensured),2019,Artificial Intelligence,B2B,"Karnataka, India",50,,,
120,Tenzai Systems Private Limited,2019,Artificial Intelligence + 3 more,B2B,Karnataka,50,,,
121,TensaX AI Lab & TensaX AI Academy,2017,Artificial Intelligence + 2 more,B2C,"Rajasthan, India",20,,,
122,Tech-IM Pro Services LLP,2020,Cyber Security,B2B,"Telangana, India",20,,,
123,TalenTECH Solutions Pvt Ltd (www.hiringplug.com),2016,Artificial Intelligence + 1 more,B2B,India,50,,,
124,TagX,2020,Computer Vision + 3 more,B2B,Madhya Pradesh,100,,,
125,SM Learning Skills Academy for Special Needs Pvt. Ltd.,2016,Deep Learning + 3 more,B2C + 3 more,"Haryana, India",100,,,
126,Smartail Private Limited,2019,Artificial Intelligence + 2 more,B2B,"Tamil Nadu, India",100,,,
127,Skit.ai (vernacular.ai),2016,Artificial Intelligence + 2 more,B2B,Karnataka,300,,,
128,Sirena Technologies Pvt Ltd,2014,Robotics + 2 more,B2B,"Karnataka, India",100,,,
129,Signodrive Technologies Pvt. Ltd.,2019,Natural Language Processing + 1 more,B2C,"Uttar Pradesh, India",50,,,
130,Silver Consultancy Services Pvt. Ltd.,2010,Not specified,B2B,"West Bengal, India",20,,,
131,shortestpath pvt ltd (Now CareerNodes),2019,Artificial Intelligence,B2C,"Maharashtra, India",20,,,
132,Shoofly.ai (website),2015,Artificial Intelligence,B2B,Haryana,20,,,
133,Shaip AI Data (India) LLP,2018,Artificial Intelligence + 2 more,B2B,Gujarat,200,,,
134,RFPIO,2015,Artificial Intelligence + 1 more,B2B,"Tamil Nadu, India",300,,,
135,RMSI CROPALYTICS PVT. LTD.,2019,Artificial Intelligence + 1 more,B2B,"Uttar Pradesh, India",100,,,
136,ReshaMandi,2020,Artificial Intelligence + 1 more,B2C + 1 more,"Karnataka, India",500,,,
137,R Dot Ventures,2015,Cloud + 1 more,B2B,"Madhya Pradesh, India",150,,,
138,Researchfin.ai,2019,Artificial Intelligence + 2 more,B2C,"Karnataka, India",20,,,
139,Quidich Innovation Labs,2013,Artificial Intelligence + 1 more,B2B + 1 more,"Maharashtra, India",100,,,
140,Providentia Labs Pvt. Ltd. (now Talkingtown),2021,Artificial Intelligence,B2C,"Karnataka, India",20,,,
141,Plotch.ai,2020,Artificial Intelligence,B2B,"Maharashtra, India",20,,,
142,PrepAI,2017,Artificial Intelligence,B2C,"Telangana, India",20,,,
143,Playment,2005,Computer Vision + 2 more,B2C + 1 more,"Karnataka, India",350,,,
144,"Paperpal, A CACTUS Communication Entity",2020,Artificial Intelligence + 1 more,B2C,"Maharashtra, India",1800,,,
