Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
Strip Finance,Hyderabad,Financial Services,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Old Fashion Research, Nothing Research, Tenzor capital",400000.0,Seed,2021
Kolo,Bengaluru,Construction,Home construction app for finding ideas and service providers near you,Better Capital,550000.0,Pre-seed,2021
88academics,Delhi,Education,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Aarin Capital,3000000.0,Pre-series A,2021
Sanctum Wealth,Mumbai,Investment Management,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,The Xander Group,10000000.0,Seed,2021
Akudo,Bengaluru,Financial Services,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000.0,Seed,2021
Delhivery,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,"Lee Fixel’s venture capital firm, Addition",125000000.0,Seed,2021
Nimble Growth Organics,Bengaluru,Farming,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,Undisclosed,3500000.0,Seed,2021
Medikabazaar,Mumbai,Healthtech,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","CDC Group, Creaegis",75000000.0,Series C,2021
Fittr,Pune,"Health, Wellness & Fitness","FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Dream Capital, Elysian Park Ventures",11000000.0,Series A,2021
ePayLater,Mumbai,Financial Services,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Responsibility, Blue Ashva Capital, Pravega Ventures",10000000.0,Series B,2021
Auntie Fung,Bengaluru,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,India Angel Network,400000.0,Seed,2021
Karbon Card,Bengaluru,FinTech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Ramp, Rainfall Ventures, Roka Works, Y Combinator",12000000.0,Pre-series A,2021
CredRight,Hyderabad,Financial Services,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple","9Unicorns, Spearhead Capital, Venture Catalysts",2700000.0,Seed,2021
Rulezero,Bengaluru,Financial Services,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.",The Treasury,2500000.0,Seed,2021
EV Plugs,Gurugram,Information Technology & Services,EV charging station aggregator platform,Undisclosed,150000.0,Seed,2021
My3DSelfie,Guwahati,Arts & Crafts,World's first to create 3d figurine from photos,"NEVF, AccelNest",3500000.0,Pre-series A,2021
Chqbook,Gurugram,FinTech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Aavishkaar Capital, Rajiv Dadlani Group",5000000.0,Pre-series B,2021
Ola Electric,Bengaluru,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,"Falcon Edge, Softbank",200000000.0,Seed,2021
Avanti Finance,Bengaluru,Financial Services,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,"Oikocredit, Nomura, The Bill & Melinda Gates Foundation",15000000.0,Series A2,2021
WickedGud,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",340000.0,Pre-seed,2021
BetterPlace,Bengaluru,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.","Jungle Ventures, CX Partners",24000000.0,Series C,2021
NeuroPixel.AI,Bengaluru,Deeptech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,"Arvind Venugopal Nair, Amritendu Mukherjee",800000.0,Seed,2021
Fieldproxy,Chennai,SaaS startup,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"LetsVenture, 2am VC, magic.fund",200000.0,Seed,2021
Goodmylk,Bengaluru,Food & Beverages,Make plant-based food affordable and accessible in India.,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",1000000.0,Seed,2021
Vidyakul,Gurugram,EdTech,Vidyakul is a group of academic experts.,We Founder Circle,500000.0,Bridge,2021
Dukaan,Bengaluru,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000.0,Series A,2021
Sugar.fit,Bengaluru,Health,"Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Cure.fit, Endiya Partners, Tanglin Venture",10000000.0,Seed,2021
Elixia Tech Solutions,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Rajasthan Venture Capital Fund,1000000.0,Pre-series A,2021
Bikayi,Hyderabad,E-commerce,Empowering SMBs in India,Sequoia Capital India,10000000.0,Series A,2021
AppsForBharat,Bengaluru,Product studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Elevation Capital,10000000.0,Series A,2021
Dezerv.,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Elevation Capital, Matrix Partners India",7000000.0,Seed,2021
REVOS,Bengaluru,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT  solutions,Undisclosed,4000000.0,Series A,2021
Skit,Bengaluru,AI startup,Enabling enterprises to automate their contact centre operations using Voice AI.,Westbridge Capital,23000000.0,Series B,2021
Codingal,Bengaluru,EdTech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,Undisclosed,1200000.0,Seed,2021
moneyHOP,London,Financial Services,moneyHOP is India’s first cross-border neo bank.,Undisclosed,1200000.0,Seed,2021
Habbit,Bengaluru,EdTech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,Ashok Goyal,320000.0,Pre-seed,2021
bitsCrunch,Chennai,Blockchain,A consulting firm focused mainly on Data Analytics and DevOps.,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",700000.0,Seed,2021
